RID,Name,Type,Confederation,Match
1,Abdulrahman Al-Jassim,Referees,AFC,
,Chris Beath,Referees,AFC,
,Alireza Faghani,Referees,AFC,
,Ma Ning,Referees,AFC,
,Mohammed Abdulla Hassan Mohamed,Referees,AFC,
,Yoshimi Yamashita,Referees,AFC,
,Taleb Al-Marri,Assistants,AFC,
,Saud Al-Maqaleh,Assistants,AFC,
,Anton Shchetinin,Assistants,AFC,
,Ashley Beecham,Assistants,AFC,
,Mohammadreza Mansouri,Assistants,AFC,
,Mohammadreza Abolfazli,Assistants,AFC,
,Mohamed Al-Hammadi,Assistants,AFC,
,Hasan Al-Mahri,Assistants,AFC,
,Abdulla Al Marri,VAR,AFC,
,Muhammad Bin Jahari,VAR,AFC,
,Bakary Gassama,Referees,CAF,
,Mustapha Ghorbal,Referees,CAF,
,Victor Gomes,Referees,CAF,
,Salima Mukansanga,Referees,CAF,
,Maguette Ndiaye,Referees,CAF,
,Janny Sikazwe,Referees,CAF,
,Elvis Noupue,Assistants,CAF,
,Mahmoud Abouelregal,Assistants,CAF,
,Mokrane Gourari,Assistants,CAF,
,Abdelhak Etchiali,Assistants,CAF,
,Zakhele Siwela,Assistants,CAF,
,Souru Phatsoane,Assistants,CAF,
,Jerson dos Santos,Assistants,CAF,
,Arsénio Marrengula,Assistants,CAF,
,Redouane Jiyed,VAR,CAF,
,Adil Zourak,VAR,CAF,
,Iván Barton,Referees,CONCACAF,
,Ismail Elfath,Referees,CONCACAF,
,Mario Escobar,Referees,CONCACAF,
,Saíd Martínez,Referees,CONCACAF,
,César Ramos,Referees,CONCACAF,
,David Morán,Assistants,CONCACAF,
,Zachari Zeegelaar,Assistants,CONCACAF,
,Kyle Atkins,Assistants,CONCACAF,
,Corey Parker,Assistants,CONCACAF,
,Caleb Wales,Assistants,CONCACAF,
,Juan Carlos Mora,Assistants,CONCACAF,
,Alberto Morín,Assistants,CONCACAF,
,Miguel Hernández,Assistants,CONCACAF,
,Drew Fischer,,,
,Fernando Guerrero,,,
,Armando Villarreal,,,
