CID,CountryCode,Name,Country_img,group,Rank,Manager,Win,XG,XGA,Clean_seat,avg_goal,Avg_agn_goal,Continent
1,QAT,Qatar,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/QAT?tx=c_fill,g_auto,q_auto",A,50,Felix Sanchez BAS,0,1.35,1.33,0.3,0,0,Asia
2,ECU,Ecuador,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/ECU?tx=c_fill,g_auto,q_auto",A,44,Gustavo ALFARO,0,1.62,1.26,0.7,0,0,South America
3,SEN,Senegal,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/SEN?tx=c_fill,g_auto,q_auto",A,18,Aliou CISSE,0,2.05,0.94,0.3,0,0,Africa
4,NED,Netherlands,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/NED?tx=c_fill,g_auto,q_auto",A,8,Louis VAN GAAL,0,1.61,1.07,0.3,0,0,Europe
5,ENG,England,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/ENG?tx=c_fill,g_auto,q_auto",B,5,Gareth SOUTHGATE,1,1.97,1.08,0.3,0,0,Europe
6,IRN,IR Iran,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/IRN?tx=c_fill,g_auto,q_auto",B,20,Carlos QUEIROZ,0,1.52,1.45,0.6,0,0,Asia
7,USA,USA,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/USA?tx=c_fill,g_auto,q_auto",B,16,Gregg BERHALTER,0,1.96,1.19,0.6,0,0,North America
8,WAL,Wales,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/WAL?tx=c_fill,g_auto,q_auto",B,19,Rob PAGE,0,1.33,1.62,0.1,0,0,Europe
9,ARG,Argentina,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/ARG?tx=c_fill,g_auto,q_auto",C,3,Lionel SCALONI,2,1.85,0.88,0.8,0,0,South America
10,KSA,Saudi Arabia,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/KSA?tx=c_fill,g_auto,q_auto",C,51,Herve RENARD,0,1.07,1.33,0.5,0,0,Asia
11,MEX,Mexico,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/MEX?tx=c_fill,g_auto,q_auto",C,13,Gerardo MARTINO,0,1.9,0.8,0.4,0,0,South America
12,POL,Poland,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/POL?tx=c_fill,g_auto,q_auto",C,26,Czeslaw MICHNIEWICZ,0,1.18,1.52,0.5,0,0,Europe
13,FRA,France,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/FRA?tx=c_fill,g_auto,q_auto",D,4,Didier DECHAMPS,2,2.22,0.88,0.2,0,0,Europe
14,DEN,Denmark,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/DEN?tx=c_fill,g_auto,q_auto",D,10,Kasper HJULMAND,0,1.35,1.43,0.4,0,0,Europe
15,TUN,Tunisia,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/TUN?tx=c_fill,g_auto,q_auto",D,30,Jalel KADRI,0,1.39,1.23,0.7,0,0,Africa
16,AUS,Australia,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/AUS?tx=c_fill,g_auto,q_auto",D,34,Graham ARNOLD,0,1.44,1.34,0.4,0,0,Asia
17,ESP,Spain,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/ESP?tx=c_fill,g_auto,q_auto",E,7,Luis ENRIQUE,1,1.57,0.79,0.5,0,0,Europe
18,GER,Germany,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/GER?tx=c_fill,g_auto,q_auto",E,11,Hansi FLICK,0,2.4,1.18,0.2,0,0,Europe
19,JPN,Japan,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/JPN?tx=c_fill,g_auto,q_auto",E,24,MORIYASU Hajime,4,2.05,0.95,0.4,0,0,Asia
20,CRC,Costa Rica,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/CRC?tx=c_fill,g_auto,q_auto",E,31,Luis Fernando SUAREZ,0,1.08,1.93,0.5,0,0,North America
21,BEL,Belgium,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/BEL?tx=c_fill,g_auto,q_auto",F,2,Roberto MARTINEZ,0,1.73,1.21,0.3,0,0,Europe
22,CAN,Canada,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/CAN?tx=c_fill,g_auto,q_auto",F,41,John HERDMAN,0,1.64,1.13,0.3,0,0,North America
23,MAR,Morocco,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/MAR?tx=c_fill,g_auto,q_auto",F,22,Walid REGRAGUI,0,2.08,1.05,0.6,0,0,Africa
24,CRO,Croatia,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/CRO?tx=c_fill,g_auto,q_auto",F,12,Zlatko DALIC,0,1.69,1.11,0.4,0,0,Europe
25,BRA,Brazil,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/BRA?tx=c_fill,g_auto,q_auto",G,1,Tite,5,2.29,0.97,0.7,0,0,South America
26,SRB,Serbia,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/SRB?tx=c_fill,g_auto,q_auto",G,21,Dragan STOJKOVIC,0,1.47,1.05,0.3,0,0,Europe
27,SUI,Switzerland,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/SUI?tx=c_fill,g_auto,q_auto",G,15,Murat YAKIN,0,1.45,1.23,0.2,0,0,Europe
28,CMR,Cameroon,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/CMR?tx=c_fill,g_auto,q_auto",G,43,Rigobert SONG,0,1.67,1.08,0.2,0,0,Africa
29,POR,Portugal,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/POR?tx=c_fill,g_auto,q_auto",H,9,Fernando SANTOS,0,1.49,1.1,0.5,0,0,Europe
30,GHA,Ghana,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/GHA?tx=c_fill,g_auto,q_auto",H,61,Otto ADDO,0,1.46,1.26,0.4,0,0,Africa
31,URU,Uruguay,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/URU?tx=c_fill,g_auto,q_auto",H,14,Diego ALONSO,0,1.91,1.02,0.8,0,0,South America
32,KOR,Korea Republic,"https://cloudinary.fifa.com/api/v3/picture/flags-sq-2/KOR?tx=c_fill,g_auto,q_auto",H,28,Paulo BENTO,2,1.73,1.09,0.5,0,0,Asia
