MID,Countrycode,Name,Manager_img,Birth
1,QAT,Felix Sanchez BAS,https://digitalhub.fifa.com/transform/c5453e08-15ea-44be-865d-ba98c88fa10a/1441914208,1975-12-13
2,ECU,Gustavo ALFARO,https://digitalhub.fifa.com/transform/466a18b8-68f4-46e6-a476-9756aa9142a2/1442153500,1962-08-14
3,SEN,Aliou CISSE,https://upload.wikimedia.org/wikipedia/commons/b/bf/Aliou_Ciss%C3%A9_2018.jpg,1976-03-24
4,NED,Louis VAN GAAL,https://digitalhub.fifa.com/transform/a77cd21e-0790-4797-ae4d-ecdbd0a654f2/1442167557,1951-08-08
5,ENG,Gareth SOUTHGATE,https://digitalhub.fifa.com/transform/ecf9d37f-6ffc-483f-bd49-7bd8924bc6ee/1441943999,1970-09-03
6,IRN,Carlos QUEIROZ,https://digitalhub.fifa.com/transform/2342a966-98de-4840-be72-c345ba3d7379/1441895449,1953-03-01
7,USA,Gregg BERHALTER,https://digitalhub.fifa.com/transform/4bf10220-66b6-4ad9-b713-e385139597ad/1441720508,1973-08-01
8,WAL,Rob PAGE,https://digitalhub.fifa.com/transform/e0fa56f0-4ab1-4add-adb7-2bf740e3480c/1441997286,1974-09-03
9,ARG,Lionel SCALONI,https://digitalhub.fifa.com/transform/1cd0729f-827e-4547-b7cb-93b186c209a5/1442739826,1978-05-16
10,KSA,Herve RENARD,https://digitalhub.fifa.com/transform/cc40928c-567e-4b0c-9ea5-aff83476ca8f/1442475785,1968-09-30
11,MEX,Gerardo MARTINO,https://digitalhub.fifa.com/transform/3ac968b4-1742-4773-ac0e-c07c55859981/1442569708,1962-11-20
12,POL,Czesław MICHNIEWICZ,https://digitalhub.fifa.com/transform/d4aaeb80-bb61-4521-8b01-648efd822966/1442522699,1970-02-12
13,FRA,Didier DECHAMPS,https://digitalhub.fifa.com/transform/690dac61-e428-47fd-84b8-88b21cb97922/1442232928,1968-10-15
14,DEN,Kasper HJULMAND,https://digitalhub.fifa.com/transform/c6ae3f8b-c68b-446f-a608-18c1edec634b/1442266237,1972-04-09
15,TUN,Jalel KADRI,https://digitalhub.fifa.com/transform/16c439f9-ea69-47d0-abda-091e71dce096/1442513366,1971-12-14
16,AUS,Graham ARNOLD,https://digitalhub.fifa.com/transform/b7f254ea-cae6-41e2-bc09-2df3a9a228ba/1441665544,1963-08-03
17,ESP,Luis ENRIQUE,https://digitalhub.fifa.com/transform/a6708aef-dfb7-40c2-9cd2-f02a1ec1bb0e/1442541442,1970-05-08
18,GER,Hansi FLICK,https://digitalhub.fifa.com/transform/c0d440ca-27ab-437d-a1b2-33b2b84e6450/1442303481,1965-02-24
19,JPN,MORIYASU Hajime,https://digitalhub.fifa.com/transform/d214dacb-a676-48a1-9966-4638204ce3c3/1441672553,1968-08-23
20,CRC,Luis Fernando SUAREZ,https://digitalhub.fifa.com/transform/2fcc43e6-8f72-4918-8c62-0f2ef016cd60/1442774930,1959-12-23
21,BEL,Roberto MARTINEZ,https://digitalhub.fifa.com/transform/a1faea2a-f64c-4132-8e5d-d6392bbef01d/1442830144,1973-07-13
22,CAN,John HERDMAN,https://digitalhub.fifa.com/transform/0c74970a-08c0-48b1-afb7-c746989e347d/1442844030,1975-07-19
23,MAR,Walid REGRAGUI,https://digitalhub.fifa.com/transform/2b164142-8eb4-4497-9f16-d1333ff151ea/Morocco-Portraits-FIFA-World-Cup-Qatar-2022,1975-09-23
24,CRO,Zlatko DALIC,https://digitalhub.fifa.com/transform/6e30955b-ed90-4898-be55-66436dc63ee9/1442833688,1966-10-26
25,BRA,Tite,https://digitalhub.fifa.com/transform/1092aa1d-07d7-48e2-afd9-d2cf5b415f97/1443087216,1961-05-25
26,SRB,Dragan STOJKOVIC,https://digitalhub.fifa.com/transform/0478ec5e-ac43-48f3-ba88-fc41309a8a7a/1443089029,1965-03-03
27,SUI,Murat YAKIN,https://digitalhub.fifa.com/transform/d3d622df-30d3-4cda-be81-bd5960ceaac2/1441888229,1974-09-15
28,CMR,Rigobert SONG,https://digitalhub.fifa.com/transform/7c944024-2dd9-4dff-b319-97bd0c11d8be/1443091910,1976-07-01
29,POR,Fernando SANTOS,https://digitalhub.fifa.com/transform/95d468c6-196a-4573-8cda-7cbabd5c4a9c/1442846618,1954-10-10
30,GHA,Otto ADDO,https://digitalhub.fifa.com/transform/85ada923-c2c1-4ecd-aaf2-f4a1c55feb7f/1443094117,1975-06-09
31,URU,Diego ALONSO,https://digitalhub.fifa.com/transform/fac907da-a23e-45ac-bb80-0fe5dc642a67/Uruguay-Portraits-FIFA-World-Cup-Qatar-2022,1975-04-16
32,KOR,Paulo BENTO,https://digitalhub.fifa.com/transform/41d7008b-2dc2-48df-98d0-86f7dba27a16/1443370636,1969-06-20
