RID,Name,Type,Confederation,Match
1,Abdulrahman Al-Jassim,Referees,AFC,
2,Chris Beath,Referees,AFC,
3,Alireza Faghani,Referees,AFC,
4,Ma Ning,Referees,AFC,
5,Mohammed Abdulla Hassan Mohamed,Referees,AFC,
6,Yoshimi Yamashita,Referees,AFC,
7,Taleb Al-Marri,Assistants,AFC,
8,Saud Al-Maqaleh,Assistants,AFC,
9,Anton Shchetinin,Assistants,AFC,
10,Ashley Beecham,Assistants,AFC,
11,Mohammadreza Mansouri,Assistants,AFC,
12,Mohammadreza Abolfazli,Assistants,AFC,
13,Mohamed Al-Hammadi,Assistants,AFC,
14,Hasan Al-Mahri,Assistants,AFC,
15,Abdulla Al Marri,VAR,AFC,
16,Muhammad Bin Jahari,VAR,AFC,
17,Bakary Gassama,Referees,CAF,
18,Mustapha Ghorbal,Referees,CAF,
19,Victor Gomes,Referees,CAF,
20,Salima Mukansanga,Referees,CAF,
21,Maguette Ndiaye,Referees,CAF,
22,Janny Sikazwe,Referees,CAF,
23,Elvis Noupue,Assistants,CAF,
24,Mahmoud Abouelregal,Assistants,CAF,
25,Mokrane Gourari,Assistants,CAF,
26,Abdelhak Etchiali,Assistants,CAF,
27,Zakhele Siwela,Assistants,CAF,
28,Souru Phatsoane,Assistants,CAF,
29,Jerson dos Santos,Assistants,CAF,
30,Arsénio Marrengula,Assistants,CAF,
31,Redouane Jiyed,VAR,CAF,
32,Adil Zourak,VAR,CAF,
33,Iván Barton,Referees,CONCACAF,
34,Ismail Elfath,Referees,CONCACAF,
35,Mario Escobar,Referees,CONCACAF,
36,Saíd Martínez,Referees,CONCACAF,
37,César Ramos,Referees,CONCACAF,
38,David Morán,Assistants,CONCACAF,
39,Zachari Zeegelaar,Assistants,CONCACAF,
40,Kyle Atkins,Assistants,CONCACAF,
41,Corey Parker,Assistants,CONCACAF,
42,Caleb Wales,Assistants,CONCACAF,
43,Juan Carlos Mora,Assistants,CONCACAF,
44,Alberto Morín,Assistants,CONCACAF,
45,Miguel Hernández,Assistants,CONCACAF,
46,Drew Fischer,,,
47,Fernando Guerrero,,,
48,Armando Villarreal,,,
