country_number,country_name,vs Qatar,vs Ecuador,vs Senegal,vs Netherlands,vs England,vs Iran,vs USA,vs Wales,vs Argentina,vs Saudi Arabia,vs Mexico,vs Poland,vs France,vs Australia,vs Denmark,vs Tunisia,vs Spain,vs Costa Rica,vs Germany,vs Japan,vs Belgium,vs Canada,vs Morocco,vs Croatia,vs Brazil,vs Serbia,vs Switzerland,vs Cameroon,vs Portugal,vs Ghana,vs Uruguay,vs Korea Republic,1_in_group,2_in_group,go_to_r16,go_to_r8_in_left,go_to_r8_in_right,go_to_r8,fail_in_r16_left,fail_in_r16_right,fail_in_r16,go_to_r4_in_left,go_to_r4_in_right,go_to_r4,fail_in_r8_left,fail_in_r8_right,fail_in_r8,go_to_final_in_left,go_to_final_in_right,go_to_final,go_to_rank_in_left,go_to_rank_in_right,go_to_rank,3_in_rank,4_in_rank,1_in_final,2_in_final
1,Qatar,0.5,0.4097891,0.27610725,0.22510655,0.21770589,0.29850987,0.25639504,0.27968854,0.20734008,0.48196957,0.24423733,0.30172864,0.21354401,0.37339416,0.22965331,0.32063794,0.21845548,0.3427905,0.22247508,0.3151446,0.1984113,0.4097891,0.3002026,0.2619585,0.19851959,0.30717897,0.25707442,0.37893555,0.2245439,0.40850174,0.24630031,0.33298692,0.07893640128370112,0.2560294507661042,0.33496585204980533,0.0047384805533752725,0.01801971186535155,0.022758192418726824,0.016186156477402562,0.043353033179173175,0.05953918965657574,0.0023503326836679835,0.01003518191604327,0.012385514599711253,0.007160095986991693,0.0258501930587164,0.033010289045708095,0.001270179351698993,0.005568337507834563,0.0068385168595335565,0.003412334433019156,0.014596726031574657,0.01800906046459381,0.0056413901941587226,0.013004577931896792,0.0019360731462181248,0.005174656755078957
2,Ecuador,0.5902109146118164,0.5,0.3483995646238327,0.29193001240491867,0.2739945650100708,0.4444504380226135,0.32210221886634827,0.35083000361919403,0.2680916339159012,0.6101340651512146,0.3102431297302246,0.36936216056346893,0.26969679445028305,0.45110875368118286,0.2905050739645958,0.3865281790494919,0.2826242297887802,0.4124336540699005,0.2580801546573639,0.40353406965732574,0.2548564523458481,0.4967995285987854,0.3773268461227417,0.33070024847984314,0.2608070746064186,0.3807920217514038,0.3242727667093277,0.47223955392837524,0.28289444744586945,0.582571268081665,0.3164239227771759,0.42559245228767395,0.14066325736596022,0.2563060063625679,0.39696926372852814,0.011213312605409384,0.023283294012194908,0.03449660661760429,0.02543112769573029,0.0391437500569709,0.06457487775270118,0.006986320469560302,0.016165846166194285,0.023152166635754586,0.01551950360089867,0.030201695252808886,0.045721198853707554,0.008080188167890962,0.018953308538016824,0.027033496705907788,0.0058384975273278,0.013530937172414109,0.019369434699741908,0.012205478601312342,0.00779602526512557,0.015987494608470744,0.011861214303897558
3,Senegal,0.7238927483558655,0.6516004353761673,0.5,0.4130576550960541,0.4144941419363022,0.6135696470737457,0.46405646204948425,0.5071966797113419,0.39475537836551666,0.7399961650371552,0.4440334886312485,0.5253892689943314,0.40832990407943726,0.6029667854309082,0.40856482088565826,0.5262183398008347,0.40840843319892883,0.5747761279344559,0.40917566418647766,0.5699494332075119,0.3674391955137253,0.6473453938961029,0.5376147925853729,0.47282297909259796,0.37940604984760284,0.5409902036190033,0.4535772502422333,0.6253102719783783,0.3991001099348068,0.6950476095080376,0.4405079483985901,0.5813359320163727,0.31614229054085796,0.2731231808829016,0.5892654714237595,0.0361356485838232,0.03609301480231036,0.07222866338613355,0.04368504728034836,0.03255565877505404,0.0762407060554024,0.032207184758590635,0.03485524172182675,0.06706242648041738,0.040319336022354255,0.03702223222607257,0.07734156824842683,0.03812049244167728,0.041902483708917714,0.08002297615059499,0.026045141490497137,0.028136920646915895,0.05418206213741303,0.03455215375501357,0.02033220923798406,0.04756598281973783,0.032486111765292876
4,Netherlands,0.7748934477567673,0.7080699875950813,0.5869423449039459,0.5,0.48618118464946747,0.6758226752281189,0.561434343457222,0.5879136472940445,0.47018857300281525,0.7888898849487305,0.5382407158613205,0.6000919938087463,0.4866931736469269,0.6817989945411682,0.5112627297639847,0.6196099370718002,0.4843309223651886,0.6456443816423416,0.5242197811603546,0.6499969661235809,0.4447418749332428,0.7046319395303726,0.612131729722023,0.5705647170543671,0.4504458159208298,0.6138124167919159,0.5493274182081223,0.6866902261972427,0.5026532113552094,0.7635866925120354,0.5396345555782318,0.6605175733566284,0.46425805080948057,0.21454136198842622,0.6787994127979068,0.061235559695583607,0.033110407294730124,0.09434596699031372,0.05408534406385058,0.02171050187034444,0.07579584593419501,0.06502835999233886,0.03745265641544709,0.10248101640778595,0.05787526196680104,0.028485100537429028,0.08636036250423007,0.07579628481915346,0.04431580162256858,0.12011208644172204,0.053758222156657785,0.030942943326514653,0.08470116548317244,0.0526994149726769,0.0320213913835795,0.06917458039432905,0.04897771081017459
5,England,0.7822941094636917,0.7260054349899292,0.5855058580636978,0.5138188153505325,0.5,0.685157060623169,0.563892662525177,0.5921587646007538,0.468692809343338,0.7959514856338501,0.5428154766559601,0.5972777605056763,0.4827308803796768,0.6827336400747299,0.5224218219518661,0.6231017857789993,0.5034570395946503,0.6466670632362366,0.553874596953392,0.6462336033582687,0.45789699256420135,0.7207406461238861,0.6133606433868408,0.5686795115470886,0.4522150009870529,0.6249644160270691,0.5508952140808105,0.6937214136123657,0.526277706027031,0.7641992494463921,0.5417243540287018,0.6568110138177872,0.3789760776072139,0.2263096056545988,0.6052856832618128,0.05634193552510317,0.037098624211324135,0.09344055973642731,0.036319821804326684,0.02113859060267652,0.0574584124070032,0.060025104838228656,0.04212610895440667,0.10215121379263532,0.05305670544728959,0.03175398695494554,0.08481069240223513,0.06970099172377284,0.049626106583562674,0.11932709830733551,0.04988564500525225,0.03502364574186624,0.08490929074711849,0.05228524151947615,0.032477882601043305,0.06796264288806556,0.04916329616120144
6,Iran,0.7014901340007782,0.55554956,0.38643035,0.32417732,0.31484294,0.5,0.3627892,0.39067027,0.30163527,0.6616661250591278,0.34794718,0.4097891,0.30955896,0.546484,0.3298734,0.4097891,0.31579196,0.4097891,0.32086742,0.46850625,0.29013222,0.5506547,0.4097891,0.36951402,0.29027244,0.4097891,0.36361256,0.52532756,0.32347038,0.63350916,0.35047975,0.47772107,0.12412365119289094,0.2740751278819093,0.3981987790748002,0.01397195530649314,0.031061840642996878,0.045033795949490016,0.01741726299467531,0.03685451420043001,0.05427177719510532,0.009813070088639235,0.024252546008353748,0.03406561609699298,0.01822952348861974,0.03760559063718616,0.0558351141258059,0.011991179805873494,0.030229153511418305,0.0422203333172918,0.007559174184331924,0.018504804212760732,0.026063978397092655,0.017308531962272652,0.009536059756953721,0.026371222293929658,0.016865338815001973
7,USA,0.7436049580574036,0.6778977811336517,0.5359435379505157,0.438565656542778,0.436107337474823,0.6372107863426208,0.5,0.5391464084386826,0.4199488162994385,0.7589415162801743,0.4697602242231369,0.5282690972089767,0.43084047734737396,0.6305661648511887,0.43768759071826935,0.5732244104146957,0.4338015466928482,0.6025329381227493,0.4674040824174881,0.5967918187379837,0.3922146111726761,0.6737924516201019,0.5648723691701889,0.517162874341011,0.40432679653167725,0.569598525762558,0.5095172077417374,0.6492139846086502,0.4279111921787262,0.7195223420858383,0.4683590531349182,0.6079194694757462,0.2699161669881702,0.24606466809234462,0.5159808350805148,0.036954808695925496,0.0361883788509478,0.0731431875468733,0.02977784205351334,0.02635087049148019,0.05612871254499353,0.03479396315825214,0.03675482089790645,0.07154878405615858,0.03937666351871655,0.035312565889334444,0.07468922940805099,0.042116008100073925,0.045303738295821044,0.08741974639589498,0.027203204982232925,0.028552750304648645,0.05575595528688157,0.03636096392835998,0.02007061559549103,0.05318714172415725,0.03392468956730247
8,Wales,0.7203114628791809,0.649169996380806,0.49280332028865814,0.4120863527059555,0.4078412353992462,0.6093297302722931,0.46085359156131744,0.5,0.3928157538175583,0.7365477681159973,0.442697674036026,0.522818922996521,0.402665838599205,0.6004180163145065,0.4075782597064972,0.524224579334259,0.4068252295255661,0.5717696994543076,0.3912247270345688,0.5685797929763794,0.36654262244701385,0.6448992341756821,0.534905806183815,0.47030554711818695,0.3776227533817291,0.5382940173149109,0.44630536437034607,0.6227890104055405,0.39812570810317993,0.6928378492593765,0.43948131799697876,0.5800041556358337,0.2269841042117248,0.2535505983711474,0.48053470258287223,0.029494244354020722,0.03503883181206297,0.0645330761660837,0.02699150112207159,0.02897902614360476,0.05597052726567635,0.026136307278173426,0.03366209224992623,0.059798399528099656,0.03306049725954186,0.03611602782485262,0.06917652508439448,0.030174317143969318,0.03966178943722231,0.06983610658119163,0.02189644711936112,0.027980056497231617,0.04987650361659274,0.030980157640527646,0.019671796993863924,0.040314544484603934,0.02995799661566278
9,Argentina,0.7926599234342575,0.7319083660840988,0.6052446216344833,0.5298114269971848,0.531307190656662,0.6983647346496582,0.5800511837005615,0.6071842461824417,0.5,0.8058285117149353,0.5640210062265396,0.6219782084226608,0.5242503434419632,0.7016278430819511,0.5123976767063141,0.6410814374685287,0.5261186212301254,0.6665070056915283,0.542168915271759,0.6666790992021561,0.48378656804561615,0.7267024517059326,0.6311749219894409,0.5885792374610901,0.47336453199386597,0.6347993761301041,0.571972444653511,0.7043743953108788,0.518491268157959,0.7799981534481049,0.5624192655086517,0.6768534481525421,0.4190636900231984,0.22455508752238176,0.6436187775455802,0.05678002947521632,0.035187283418692324,0.09196731289390864,0.046965165705919576,0.022292519585604704,0.06925768529152428,0.06600923976676595,0.04345997287420539,0.10946921264097134,0.04759303383456987,0.026887768990305348,0.07448080282487522,0.04469255697412086,0.03024470829531008,0.07493726526943094,0.08681613423136213,0.057085359237226935,0.14390149346858905,0.052447597380810396,0.0870523567414038,0.02554201508045857,0.049722840007088105
10,Saudi Arabia,0.518030434846878,0.38986593,0.26000383,0.21111012,0.20404851,0.3383338749408722,0.24105848,0.26345223,0.19417149,0.5,0.22940367,0.28471845,0.20008105,0.35439444,0.21545288,0.30302456,0.20476334,0.32454133,0.20859829,0.2872937,0.18567687,0.38482118,0.28324378,0.24639931,0.18577997,0.28998935,0.24171051,0.35981584,0.21057306,0.4097891,0.23137967,0.3117044,0.051259541319611863,0.26691735648793813,0.31817689780755,0.003146785173207345,0.017976016153614705,0.021122801326822052,0.01042502318584054,0.04585405907284601,0.05627908225868655,0.0015621452683197794,0.010184945806187387,0.011747091074507165,0.004733764640768303,0.02575338251201952,0.030487147152787823,0.0011992382371705484,0.00796771636172383,0.009166954598894378,0.0019129878759531497,0.012498288245414034,0.014411276121367184,0.00632472226776134,0.008629432637883112,0.0036500211949902846,0.005881677287188913
