full_name,age,birthday,birthday_GMT,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Aakash Budha Magar,20,1013673600,2002-02-14,International Friendlies,2022,Midfielder,Nepal,71,71,0,Nepal,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,-1,-1,-1,7
Aaref Aghasi Kolahsorkhi,25,852192000,1997-01-02,International Friendlies,2022,Defender,Iran,0,0,0,Iran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Aaref Gholami,25,861433200,1997-04-19,International Friendlies,2022,Defender,Iran,0,0,0,Iran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Aaron Hickey,20,1023692400,2002-06-10,International Friendlies,2022,Midfielder,Scotland,56,23,33,Scotland,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,3.21,28,28,0,0,0,-1,-1,-1,16
Aaron Long,30,718873200,1992-10-12,International Friendlies,2022,Defender,USA,182,136,46,USA,3,2,1,0,0,0,0,0,0,0,0,2,2,0,1,0,1,1,0,0,0,0,0,0,0,0.49,182,61,182,0,0.49,-1,-1,-1,29
Aarón Moises Cruz Esquivel,31,675154800,1991-05-25,International Friendlies,2022,Goalkeeper,Costa Rica,-44,0,-44,Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Aaron Mooy,32,653382000,1990-09-15,International Friendlies,2022,Midfielder,Australia,152,152,0,Australia,2,2,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0.59,152,76,0,0,0,-1,-1,-1,31
Aaron Suarez Zuñiga,20,1025161200,2002-06-27,International Friendlies,2022,Forward,Costa Rica,74,0,74,Costa Rica,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.22,74,74,0,0,0,-1,-1,-1,8
Aashish Lama,25,849427200,1996-12-01,International Friendlies,2022,Forward,Nepal,0,0,0,Nepal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Abai Bokoleev,26,823334400,1996-02-03,International Friendlies,2022,Forward,Kyrgyzstan,0,0,0,Kyrgyzstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Abat Aymbetov,27,807778800,1995-08-07,International Friendlies,2022,Forward,Kazakhstan,162,0,162,Kazakhstan,2,0,2,1,0,1,0,0,0,0,0,0,0,0,4,0,4,0,0,0.56,0,0.56,0,0.56,162,2.22,41,81,0,0,0,-1,-1,-1,1
Abbas Hüseynov,27,803026800,1995-06-13,International Friendlies,2022,Defender,Azerbaijan,11,11,0,Azerbaijan,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,8.18,11,11,0,0,0,-1,-1,-1,19
Abbas Mohamad,24,897894000,1998-06-15,International Friendlies,2022,Defender,Iraq,90,0,90,Sweden,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,-1,-1,-1,21
Abbas Qasim Zghair Al Kaabi,31,663926400,1991-01-15,International Friendlies,2022,Defender,Iraq,0,0,0,Iraq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Abdalla Ramadan,24,889257600,1998-03-07,International Friendlies,2022,Midfielder,UAE,349,259,90,Egypt,4,3,1,0,0,0,2,2,0,0,0,0,0,0,11,10,1,0,0,0.52,0.52,0,0,0,0,2.84,32,87,0,175,0,89,5,-1,20
Abdallah Fayiz Abdallah Al Zoubi,33,623833200,1989-10-08,International Friendlies,2022,Goalkeeper,Jordan,0,0,0,Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Abdallah Mfuko,29,732873600,1993-03-23,International Friendlies,2022,Midfielder,Tanzania,90,90,0,Tanzania,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,-1,-1,-1,7
Abdallah Ra'ed Alfakhori,22,948528000,2000-01-22,International Friendlies,2022,Goalkeeper,Jordan,90,90,0,Jordan,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,30,90,0,0,0,-1,-1,-1,7
Abdaoul Bandaogo,24,896598000,1998-05-31,International Friendlies,2022,Midfielder,Burkina,0,0,0,Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Abdel Billel Omrani,29,739004400,1993-06-02,International Friendlies,2022,Forward,Algeria,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Abdel Rachid Zagré,18,1078819200,2004-03-09,International Friendlies,2022,Forward,Burkina,1,0,1,Burkina Faso,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,8
Abdel Rahman Magdi,25,852105600,1997-01-01,International Friendlies,2022,Midfielder,Egypt,13,13,0,Egypt,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,-1,-1,-1,10
