index,Full_name,Nationality
0,Hernán Galíndez,Ecuador
1,Félix Torres,Ecuador
2,Piero Hincapié,Ecuador
3,Robert Arboleda,Ecuador
4,José Cifuentes,Ecuador
5,William Pacho,Ecuador
6,Pervis Estupiñán,Ecuador
7,Carlos Gruezo,Ecuador
8,Ayrton Preciado,Ecuador
9,Romario Ibarra,Ecuador
10,Michael Estrada,Ecuador
11,Moisés Ramírez,Ecuador
12,Enner Valencia,Ecuador
13,Xavier Arreaga,Ecuador
14,Ángel Mena,Ecuador
15,Jeremy Sarmiento,Ecuador
16,Ángelo Preciado,Ecuador
17,Diego Palacios,Ecuador
18,Gonzalo Plata,Ecuador
19,Sebas Méndez,Ecuador
20,Alan Franco,Ecuador
21,Alexander Domínguez,Ecuador
22,Moisés Caicedo,Ecuador
23,Djorkaeff Reasco,Ecuador
24,Jackson Porozo,Ecuador
25,Kevin Rodríguez,Ecuador
26,Remko Pasveer,Netherlands
27,Jurriën Timber,Netherlands
28,Matthijs de Ligt,Netherlands
29,Virgil van Dijk,Netherlands
30,Nathan Aké,Netherlands
31,Stefan de Vrij,Netherlands
32,Steven Bergwijn,Netherlands
33,Cody Gakpo,Netherlands
34,Luuk de Jong,Netherlands
35,Memphis Depay,Netherlands
36,Steven Berghuis,Netherlands
37,Noa Lang,Netherlands
38,Justin Bijlow,Netherlands
39,Davy Klaassen,Netherlands
40,Marten de Roon,Netherlands
41,Tyrell Malacia,Netherlands
42,Daley Blind,Netherlands
43,Vincent Janssen,Netherlands
44,Wout Weghorst,Netherlands
45,Teun Koopmeiners,Netherlands
46,Frenkie de Jong,Netherlands
47,Denzel Dumfries,Netherlands
48,Andries Noppert,Netherlands
49,Kenneth Taylor,Netherlands
50,Xavi Simons,Netherlands
51,Jeremie Frimpong,Netherlands
52,Saad Al Sheeb,Qatar
53,Ró Ró,Qatar
54,Abdelkarim Hassan,Qatar
55,Mohammed Waad,Qatar
56,Tarek Salman,Qatar
57,Abdulaziz Hatem,Qatar
58,Ahmed Alaaeldin,Qatar
59,Ali Assadalla,Qatar
60,Mohammed Muntari,Qatar
61,Hassan Al Haydos,Qatar
62,Akram Afif,Qatar
63,Karim Boudiaf,Qatar
64,Musab Kheder,Qatar
65,Homam Ahmed,Qatar
66,Bassam Al Rawi,Qatar
67,Boualem Khoukhi,Qatar
68,Ismaeel Mohammad,Qatar
69,Khalid Muneer,Qatar
70,Almoez Ali,Qatar
71,Salem Al Hajri,Qatar
72,Yousef Hassan,Qatar
73,Meshaal Barsham,Qatar
74,Assim Madibo,Qatar
75,Naif Al Hadhrami,Qatar
76,Jassem Gaber,Qatar
77,Mostafa Meshaal,Qatar
78,Seny Dieng,Senegal
79,Formose Mendy,Senegal
80,Kalidou Koulibaly,Senegal
81,Pape Abou Cissé,Senegal
82,Idrissa Gueye,Senegal
83,Nampalys Mendy,Senegal
84,Nicolas Jackson,Senegal
85,Cheikhou Kouyaté,Senegal
86,Boulaye Dia,Senegal
87,Moussa N'Diaye,Senegal
88,Pathé Ciss,Senegal
89,Fodé Ballo-Touré,Senegal
90,Iliman Ndiaye,Senegal
91,Ismail Jakobs,Senegal
92,Krépin Diatta,Senegal
93,Édouard Mendy,Senegal
94,Pape Matar Sarr,Senegal
95,Ismaïla Sarr,Senegal
96,Famara Diédhiou,Senegal
97,Bamba Dieng,Senegal
98,Youssouf Sabaly,Senegal
99,Abdou Diallo,Senegal
100,Alfred Gomis,Senegal
101,Moustapha Name,Senegal
102,Mamadou Loum,Senegal
103,Pape Gueye,Senegal
104,Jordan Pickford,England
105,Kyle Walker,England
106,Luke Shaw,England
107,Declan Rice,England
108,John Stones,England
109,Harry Maguire,England
110,Jack Grealish,England
111,Jordan Henderson,England
112,Harry Kane,England
113,Raheem Sterling,England
114,Marcus Rashford,England
115,Kieran Trippier,England
116,Nick Pope,England
117,Kalvin Phillips,England
118,Eric Dier,England
119,Conor Coady,England
120,Bukayo Saka,England
121,Trent Alexander-Arnold,England
122,Mason Mount,England
123,Phil Foden,England
124,Ben White,England
125,Jude Bellingham,England
126,Aaron Ramsdale,England
127,Callum Wilson,England
128,James Maddison,England
129,Conor Gallagher,England
130,Alireza Beiranvand,Iran
131,Sadegh Moharrami,Iran
132,Ehsan Hajsafi,Iran
133,Shojae Khalilzadeh,Iran
134,Milad Mohammadi,Iran
135,Saeid Ezatolahi,Iran
136,Alireza Jahanbakhsh,Iran
137,Morteza Pouraliganji,Iran
138,Mehdi Taremi,Iran
139,Karim Ansarifard,Iran
140,Vahid Amiri,Iran
141,Payam Niazmand,Iran
142,Hossein Kanaanizadegan,Iran
143,Saman Ghoddos,Iran
144,Rouzbeh Cheshmi,Iran
145,Mehdi Torabi,Iran
146,Ali Gholizadeh,Iran
147,Ali Karimi,Iran
148,Majid Hosseini,Iran
149,Sardar Azmoun,Iran
150,Ahmad Nourollahi,Iran
151,Amir Abedzadeh,Iran
152,Ramin Rezaeian,Iran
153,Hossein Hosseini,Iran
154,Abolfazl Jalali,Iran
155,Matt Turner,USA
156,Sergiño Dest,USA
157,Walker Zimmerman,USA
158,Tyler Adams,USA
159,Antonee Robinson,USA
160,Yunus Musah,USA
161,Giovanni Reyna,USA
162,Weston McKennie,USA
163,Jesús Ferreira,USA
164,Christian Pulisic,USA
165,Brenden Aaronson,USA
166,Ethan Horvath,USA
167,Tim Ream,USA
168,Luca de la Torre,USA
169,Aaron Long,USA
170,Jordan Morris,USA
171,Cristian Roldan,USA
172,Shaq Moore,USA
173,Haji Wright,USA
174,Cameron Carter-Vickers,USA
175,Timothy Weah,USA
176,DeAndre Yedlin,USA
177,Kellyn Acosta,USA
178,Josh Sargent,USA
179,Sean Johnson,USA
180,Joe Scally,USA
181,Wayne Hennessey,Wales
182,Chris Gunter,Wales
183,Neco Williams,Wales
184,Ben Davies,Wales
185,Chris Mepham,Wales
186,Joe Rodon,Wales
187,Joe Allen,Wales
188,Harry Wilson,Wales
189,Brennan Johnson,Wales
190,Aaron Ramsey,Wales
191,Gareth Bale,Wales
192,Danny Ward,Wales
193,Kieffer Moore,Wales
194,Connor Roberts,Wales
195,Ethan Ampadu,Wales
196,Joe Morrell,Wales
197,Tom Lockyer,Wales
198,Jonny Williams,Wales
199,Mark Harris,Wales
200,Daniel James,Wales
201,Adam Davies,Wales
202,Sorba Thomas,Wales
203,Dylan Levitt,Wales
