index,Full_name,Nationality,is_ovr,Overall,Potential,Age,Position,is_time,played_time
0,Hernán Galíndez,Ecuador,0,0,0,0,0,0,0
1,Félix Torres,Ecuador,0,0,0,0,0,0,0
2,Piero Hincapié,Ecuador,1,78,85,20,CB,1,2430
3,Robert Arboleda,Ecuador,0,0,0,0,0,0,0
4,José Cifuentes,Ecuador,1,73,80,23,CDM,1,533
5,William Pacho,Ecuador,1,67,78,20,CB,1,0
6,Pervis Estupiñán,Ecuador,1,79,83,24,LB,1,3478
7,Carlos Gruezo,Ecuador,1,72,75,27,CDM,1,3043
8,Ayrton Preciado,Ecuador,0,0,0,0,0,0,0
9,Romario Ibarra,Ecuador,0,0,0,0,0,0,0
10,Michael Estrada,Ecuador,0,0,0,0,0,0,0
11,Moisés Ramírez,Ecuador,1,70,81,21,GK,1,360
12,Enner Valencia,Ecuador,1,75,75,32,ST,1,1748
13,Xavier Arreaga,Ecuador,1,69,71,27,CB,1,1222
14,Ángel Mena,Ecuador,0,0,0,0,0,0,0
15,Jeremy Sarmiento,Ecuador,1,66,80,20,CAM,0,0
16,Ángelo Preciado,Ecuador,1,69,75,24,RWB,0,0
17,Diego Palacios,Ecuador,1,71,79,22,LWB,1,162
18,Gonzalo Plata,Ecuador,1,77,86,21,CAM,1,1790
19,Sebas Méndez,Ecuador,0,0,0,0,0,0,0
20,Alan Franco,Ecuador,1,66,72,23,CAM,1,1300
21,Alexander Domínguez,Ecuador,0,0,0,0,0,0,0
22,Moisés Caicedo,Ecuador,1,70,82,20,CDM,1,3070
23,Djorkaeff Reasco,Ecuador,1,66,72,23,ST,1,172
24,Jackson Porozo,Ecuador,1,68,77,21,CB,1,270
25,Kevin Rodríguez,Ecuador,0,0,0,0,0,0,0
26,Remko Pasveer,Netherlands,0,0,0,0,0,0,0
27,Jurriën Timber,Netherlands,1,80,88,21,CB,0,0
28,Matthijs de Ligt,Netherlands,1,85,89,22,CB,1,450
29,Virgil van Dijk,Netherlands,1,90,90,30,CB,1,540
30,Nathan Aké,Netherlands,1,78,80,27,CB,1,1
31,Stefan de Vrij,Netherlands,1,84,84,30,CB,1,540
32,Steven Bergwijn,Netherlands,1,80,85,24,CAM,1,208
33,Cody Gakpo,Netherlands,1,83,87,23,RM,1,243
34,Luuk de Jong,Netherlands,1,79,79,31,ST,1,188
35,Memphis Depay,Netherlands,1,85,85,28,CF,1,900
36,Steven Berghuis,Netherlands,1,82,82,30,CAM,1,603
37,Noa Lang,Netherlands,1,78,85,23,CAM,1,118
38,Justin Bijlow,Netherlands,1,79,85,24,GK,1,540
39,Davy Klaassen,Netherlands,1,79,79,29,CAM,1,771
40,Marten de Roon,Netherlands,1,80,80,31,CB,1,96
41,Tyrell Malacia,Netherlands,1,79,85,22,LWB,1,90
42,Daley Blind,Netherlands,1,80,80,32,CDM,1,766
43,Vincent Janssen,Netherlands,1,73,73,28,ST,0,0
44,Wout Weghorst,Netherlands,1,79,79,29,ST,1,44
45,Teun Koopmeiners,Netherlands,1,80,84,24,CM,1,68
46,Frenkie de Jong,Netherlands,1,87,92,25,CM,1,807
47,Denzel Dumfries,Netherlands,1,82,84,26,RWB,0,0
48,Andries Noppert,Netherlands,1,70,73,28,GK,0,0
49,Kenneth Taylor,Netherlands,1,73,85,20,CAM,0,0
50,Xavi Simons,Netherlands,1,73,86,19,CAM,0,0
51,Jeremie Frimpong,Netherlands,1,80,86,21,RM,0,0
52,Saad Al Sheeb,Qatar,1,68,68,32,GK,1,810
53,Ró Ró,Qatar,0,0,0,0,0,0,0
54,Abdelkarim Hassan,Qatar,1,70,70,28,LWB,1,883
55,Mohammed Waad,Qatar,1,65,74,22,CB,0,0
56,Tarek Salman,Qatar,1,66,74,24,CDM,0,0
57,Abdulaziz Hatem,Qatar,1,71,71,31,CM,1,779
58,Ahmed Alaaeldin,Qatar,1,65,65,29,ST,1,120
59,Ali Assadalla,Qatar,0,0,0,0,0,0,0
60,Mohammed Muntari,Qatar,1,67,67,28,ST,1,129
61,Hassan Al Haydos,Qatar,1,72,72,31,RW,0,0
62,Akram Afif,Qatar,1,76,78,25,RM,1,745
63,Karim Boudiaf,Qatar,1,72,72,31,CM,1,483
64,Musab Kheder,Qatar,1,65,65,28,RWB,0,0
65,Homam Ahmed,Qatar,1,68,75,22,LWB,0,0
